"Path","Hash","Size","Reason","ChunkOffset","DataOffset"
"data\map\digitalworld\adventure_02\object_data\prop\407_prop\407_sphere.dds","0x45C32E1A","174904","missing","20450376062","20450376330"
"data\map\digitalworld\adventure_02\object_data\prop\407_prop\407_sphere.nif","0x45C3593C","20033","missing","20450551234","20450551502"
"data\map\digitalworld\adventure_02\object_data\ruins\400_ruins.nif","0x75A19F74","241574","missing","20450571535","20450571803"
"data\map\digitalworld\adventure_02\object_data\ruins\400_ruins_bc.dds","0xD1F4DF96","174904","missing","20450813377","20450813645"
"data\map\digitalworld\adventure_02\object_data\ruins\400_ruins_main_bc.dds","0x71C724BA","174904","missing","20450988549","20450988817"
"data\map\digitalworld\adventure_02\object_data\ruins\400_ruins_tile_bc.dds","0x41EE0083","174904","missing","20451163721","20451163989"
"data\map\digitalworld\adventure_02\object_data\sign\400_sign_01.nif","0x6CE77F54","5648","missing","20451338893","20451339161"
"data\map\digitalworld\adventure_02\object_data\sign\400_sign_01_bc.dds","0xB9DD3376","174904","missing","20451344809","20451345077"
"data\map\digitalworld\adventure_02\object_data\sign\400_sign_02.nif","0x6CE80BB5","5648","missing","20451519981","20451520249"
"data\map\digitalworld\adventure_02\object_data\sign\400_sign_02_bc.dds","0x06D77037","174904","missing","20451525897","20451526165"
"data\map\digitalworld\adventure_02\object_data\sign\400_sign_03.nif","0x6CE89816","5648","missing","20451701069","20451701337"
"data\map\digitalworld\adventure_02\object_data\sign\400_sign_03_bc.dds","0x53D1ACF8","174904","missing","20451706985","20451707253"
"data\map\digitalworld\adventure_02\object_data\sign\400_sign_04.nif","0x6CE92477","5648","missing","20451882157","20451882425"
"data\map\digitalworld\adventure_02\object_data\sign\400_sign_04_bc.dds","0xA0CBE9B9","174904","missing","20451888073","20451888341"
"data\map\digitalworld\adventure_02\object_data\sign\400_sign_05.nif","0x6CE9B0D8","5648","missing","20452063245","20452063513"
"data\map\digitalworld\adventure_02\object_data\sign\400_sign_05_bc.dds","0xEDC6267A","174904","missing","20452069161","20452069429"
"data\map\digitalworld\adventure_02\object_data\sky\skysphere\sky01\123.dds","0xA4A7C720","22369768","missing","20452244333","20452244601"
"data\map\digitalworld\adventure_02\object_data\sky\skysphere\sky01\400_skysphere.nif","0xC3F1197D","10570","missing","20474614369","20474614637"
"data\map\digitalworld\adventure_02\object_data\sky\skysphere\sky_night\405_sky_anime_10_night_a.dds","0x8EAAEDD3","5592552","missing","20474625207","20474625475"
"data\map\digitalworld\adventure_02\object_data\sky\skysphere\sky_night\405_sky_anime_10_night_a.nif","0x8EAB18F5","21186","missing","20480218027","20480218295"
"data\map\digitalworld\adventure_02\object_data\sky\skysphere\sky_night\fullmoon03.dds","0x1C7792F1","22000","missing","20480239481","20480239749"
"data\map\digitalworld\adventure_02\object_data\sky\skysphere\sky_night\nightsky01.dds","0x673ACD54","87528","missing","20480261749","20480262017"
"data\map\digitalworld\adventure_02\object_data\sky\skysphere\sky_night\nightsky01_1.dds","0x20ACCE04","87528","missing","20480349545","20480349813"
"data\map\digitalworld\adventure_02\object_data\sky\skysphere\sky_night\nightsky03.dds","0x673BE616","43856","missing","20480437341","20480437609"
"data\map\digitalworld\adventure_02\object_data\sky\skysphere\sky_night\nightsky05.dds","0x673CFED8","43856","missing","20480481465","20480481733"
"data\map\digitalworld\adventure_02\object_data\sky\skysphere\sky_night\sky_night_405.nif","0x2444C38C","21853","missing","20480525589","20480525857"
"data\map\digitalworld\adventure_02\object_data\structure\405_rocks\405_rocks.dds","0x10266302","699192","missing","20480547710","20480547978"
"data\map\digitalworld\adventure_02\object_data\structure\405_rocks\405_rock_11.nif","0x80ED1E92","3572","missing","20481247170","20481247438"
