"AssetPath","Address","Status","FromFunction","FromEntry","RefAddr","Note"
"EquipSystem\Upgrade_Fail_Effect.dds","01ae45e4","REQUIRED_ADJACENT_XREF","FUN_011f77b0","011f77b0","011f78fb",""
"EquipSystem\Upgrade_Fail_Effect.dds","01ae45e4","REQUIRED_ADJACENT_XREF","FUN_011f77b0","011f77b0","011f7905",""
"EquipSystem\Upgrade_Fail_Effect.dds","01ae45e4","REQUIRED_COPIED_XREF","FUN_01275e30","01275e30","01276022",""
"EquipSystem\Upgrade_IC_BG.tga","01ae8b0c","REQUIRED_COPIED_XREF","FUN_0126a270","0126a270","0126a3e7",""
"EquipSystem\Upgrade_IC_BG.tga","01ae8b0c","REQUIRED_COPIED_XREF","FUN_0126a270","0126a270","0126a415",""
"EquipSystem\Upgrade_Line_horizontal.tga","01ae8bec","REQUIRED_COPIED_XREF","FUN_0126b830","0126b830","0126bb06",""
"EquipSystem\Upgrade_Line_horizontal.tga","01ae8bec","REQUIRED_COPIED_XREF","FUN_0126b830","0126b830","0126bb1f",""
"EquipSystem\Upgrade_Line_horizontal.tga","01ae8bec","REQUIRED_COPIED_XREF","FUN_01270660","01270660","01270936",""
"EquipSystem\Upgrade_Line_horizontal.tga","01ae8bec","REQUIRED_COPIED_XREF","FUN_01270660","01270660","0127094f",""
"EquipSystem\Upgrade_Line_horizontal.tga","01ae8bec","REQUIRED_COPIED_XREF","FUN_01276140","01276140","0127684b",""
"EquipSystem\Upgrade_Line_horizontal.tga","01ae8bec","REQUIRED_COPIED_XREF","FUN_01276140","01276140","01276867",""
"EquipSystem\Upgrade_Line_horizontal.tga","01ae8bec","REQUIRED_COPIED_XREF","FUN_01276140","01276140","01276883",""
"EquipSystem\Upgrade_Line_horizontal.tga","01ae8bec","REQUIRED_COPIED_XREF","FUN_01276140","01276140","0127689f",""
"EquipSystem\Upgrade_Line_vertical.tga","01ae8dc4","REQUIRED_COPIED_XREF","FUN_01276140","01276140","012768bb",""
"EquipSystem\Upgrade_Progress_Effect.dds","01ae8b4c","REQUIRED_COPIED_XREF","FUN_0126b5b0","0126b5b0","0126b633",""
"EquipSystem\Upgrade_Progress_Effect.dds","01ae8b4c","REQUIRED_COPIED_XREF","FUN_012703e0","012703e0","01270463",""
"EquipSystem\Upgrade_Progress_Effect.dds","01ae8b4c","REQUIRED_COPIED_XREF","FUN_01275e30","01275e30","01275eb3",""
"EquipSystem\Upgrade_Slot.tga","01ae2c40","REQUIRED_ADJACENT_XREF","FUN_011d3b00","011d3b00","011d3dbe",""
"EquipSystem\Upgrade_Slot.tga","01ae2c40","REQUIRED_ADJACENT_XREF","FUN_011d3b00","011d3b00","011d3dec",""
"EquipSystem\Upgrade_Slot.tga","01ae2c40","REQUIRED_COPIED_XREF","FUN_012696e0","012696e0","01269927",""
"EquipSystem\Upgrade_Slot.tga","01ae2c40","REQUIRED_COPIED_XREF","FUN_012696e0","012696e0","01269952",""
"EquipSystem\Upgrade_Slot.tga","01ae2c40","REQUIRED_COPIED_XREF","FUN_012696e0","012696e0","01269aab",""
"EquipSystem\Upgrade_Slot.tga","01ae2c40","REQUIRED_COPIED_XREF","FUN_012696e0","012696e0","01269e9b",""
"EquipSystem\Upgrade_Slot.tga","01ae2c40","REQUIRED_COPIED_XREF","FUN_012696e0","012696e0","01269ec6",""
"EquipSystem\Upgrade_Slot.tga","01ae2c40","REQUIRED_COPIED_XREF","FUN_012696e0","012696e0","0126a025",""
"EquipSystem\Upgrade_Slot.tga","01ae2c40","REQUIRED_COPIED_XREF","FUN_0126ae30","0126ae30","0126b1b1",""
"EquipSystem\Upgrade_Slot.tga","01ae2c40","REQUIRED_COPIED_XREF","FUN_0126bd30","0126bd30","0126bd81",""
"EquipSystem\Upgrade_Slot.tga","01ae2c40","REQUIRED_COPIED_XREF","FUN_0126c420","0126c420","0126c54c",""
"EquipSystem\Upgrade_Slot.tga","01ae2c40","REQUIRED_COPIED_XREF","FUN_01270b90","01270b90","01270be1",""
