"OriginalFunction","FunctionAddress","CopiedFile","RefAddress","TargetAddress","TargetSymbol","Value"
"FUN_013a90e0","013a90e0","decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","013a96dc","01ae28b4","s_DMG_SKINS_TITLE_01ae28b4","DMG_SKINS_TITLE"
"FUN_013a90e0","013a90e0","decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","013a9863","01ae3bc8","s_UNION_TITLE_01ae3bc8","UNION_TITLE"
"FUN_013a90e0","013a90e0","decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","013a91ff","01ae4dac","s_PARTYFIND_MAINUI_TITLE_01ae4dac","PARTYFIND_MAINUI_TITLE"
"FUN_013a90e0","013a90e0","decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","013a9af4","01ae5880","s_Preset_Title_Text_01ae5880","Preset_Title_Text"
"FUN_013a90e0","013a90e0","decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","013a94b7","01aedbdc","s_INVENTORY_TITLE_TEXT_01aedbdc","INVENTORY_TITLE_TEXT"
"FUN_013a90e0","013a90e0","decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","013a9298","01aeee58","s_COMMON_TXT_COMMUNITY_01aeee58","COMMON_TXT_COMMUNITY"
"FUN_013a90e0","013a90e0","decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","013a9a0d","01aef734","s_DAMAGEMETER_TITLE_01aef734","DAMAGEMETER_TITLE"
"FUN_013a90e0","013a90e0","decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","013a9345","01af0740","s_COMMON_TXT_FRIEND_01af0740","COMMON_TXT_FRIEND"
"FUN_013a90e0","013a90e0","decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","013a9d73","01af1b68","s_COMMON_TXT_ACHIEVEMENT_01af1b68","COMMON_TXT_ACHIEVEMENT"
"FUN_013a90e0","013a90e0","decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","013a97c1","01af1dbc","s_SEALMASTER_SEAL_TITLE_01af1dbc","SEALMASTER_SEAL_TITLE"
