"CopiedFile","SymbolInC","Address","Value","Source"
"decompiled\ExtraInventoryUI\Seal\BuildSealOverviewDropdown.original.c","s_ENCY_DIGIMON_GRADE_SSPLUS_01ad06c0","01ad06c0","ENCY_DIGIMON_GRADE_SSPLUS","copied-c-symbol"
"decompiled\ExtraInventoryUI\Seal\BuildSealOverviewDropdown.original.c","s_ENCY_DIGIMON_GRADE_SSS_01ad06dc","01ad06dc","ENCY_DIGIMON_GRADE_SSS","copied-c-symbol"
"decompiled\ExtraInventoryUI\Seal\BuildSealOverviewDropdown.original.c","s_ENCY_DIGIMON_GRADE_SSSPLUS_01ad06f4","01ad06f4","ENCY_DIGIMON_GRADE_SSSPLUS","copied-c-symbol"
"decompiled\ExtraInventoryUI\Seal\BuildSealOverviewDropdown.original.c","s_ENCY_DIGIMON_GRADE_U_01ad0710","01ad0710","ENCY_DIGIMON_GRADE_U","copied-c-symbol"
"decompiled\ExtraInventoryUI\Seal\BuildSealOverviewDropdown.original.c","s_Talk_Common_Seletbar_tga_01ad36a8","01ad36a8","Talk\Common_Seletbar.tga","copied-c-symbol"
"decompiled\ExtraInventoryUI\Seal\BuildSealOverviewDropdown.original.c","s_SealMaster_btn_combobox_tga_01ad7abc","01ad7abc","SealMaster\btn_combobox.tga","copied-c-symbol"
"decompiled\ExtraInventoryUI\Seal\BuildSealOverviewDropdown.original.c","s_SealMaster_dropdown_list_0_01ad7b14","01ad7b14","SealMaster\dropdown_list_0","copied-c-symbol"
"decompiled\ExtraInventoryUI\Seal\BuildSealOverviewDropdown.original.c","s_SEALMASTER_SHOW_ALL_01ae0fbc","01ae0fbc","SEALMASTER_SHOW_ALL","copied-c-symbol"
"decompiled\ExtraInventoryUI\Seal\BuildSealOverviewDropdown.original.c","s_Control_G_ComboBox_Combo_tga_01ae65fc","01ae65fc","Control_G\ComboBox\Combo.tga","copied-c-symbol"
"decompiled\ExtraInventoryUI\Seal\BuildSealOverviewDropdown.original.c","s_Control_G_Popup_ON2Dlg_01ae661c","01ae661c","Control_G\Popup\ON2Dlg","copied-c-symbol"
"decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c","s_Talk_Common_Seletbar_tga_01ad36a8","01ad36a8","Talk\Common_Seletbar.tga","copied-c-symbol"
"decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c","s_SealMaster_btn_combobox_tga_01ad7abc","01ad7abc","SealMaster\btn_combobox.tga","copied-c-symbol"
"decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c","s_SealMaster_dropdown_list_0_01ad7b14","01ad7b14","SealMaster\dropdown_list_0","copied-c-symbol"
"decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c","s_SEALMASTER_STATE_COMBO_ALL_01ae13ac","01ae13ac","SEALMASTER_STATE_COMBO_ALL","copied-c-symbol"
"decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c","s_SEALMASTER_STATE_COMBO_DS_01ae13e4","01ae13e4","SEALMASTER_STATE_COMBO_DS","copied-c-symbol"
"decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c","s_SEALMASTER_STATE_COMBO_HP_01ae1400","01ae1400","SEALMASTER_STATE_COMBO_HP","copied-c-symbol"
"decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c","s_SEALMASTER_STATE_COMBO_AS_01ae141c","01ae141c","SEALMASTER_STATE_COMBO_AS","copied-c-symbol"
"decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c","s_SEALMASTER_STATE_COMBO_AT_01ae1438","01ae1438","SEALMASTER_STATE_COMBO_AT","copied-c-symbol"
"decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c","s_SEALMASTER_STATE_COMBO_HT_01ae1454","01ae1454","SEALMASTER_STATE_COMBO_HT","copied-c-symbol"
"decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c","s_SEALMASTER_STATE_COMBO_CT_01ae1470","01ae1470","SEALMASTER_STATE_COMBO_CT","copied-c-symbol"
"decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c","s_SEALMASTER_STATE_COMBO_BL_01ae148c","01ae148c","SEALMASTER_STATE_COMBO_BL","copied-c-symbol"
"decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c","s_SEALMASTER_STATE_COMBO_DE_01ae14a8","01ae14a8","SEALMASTER_STATE_COMBO_DE","copied-c-symbol"
"decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c","s_SEALMASTER_STATE_COMBO_EV_01ae14f4","01ae14f4","SEALMASTER_STATE_COMBO_EV","copied-c-symbol"
