"OriginalFunction","FunctionAddress","CopiedFile","RefAddress","TargetAddress","TargetSymbol","Value"
"FUN_011db440","011db440","decompiled\DetailInfoUI\BuildTamerEquipmentSection.original.c","011db67d","01ae32f8","s_MAINBAR_MEMU_SEAL_MASTER_01ae32f8","MAINBAR_MEMU_SEAL_MASTER"
"FUN_011db440","011db440","decompiled\DetailInfoUI\BuildTamerEquipmentSection.original.c","011db68b","01ae3460","s_DETAIL_INFO_EQUIP_01ae3460","DETAIL_INFO_EQUIP"
"FUN_011dbca0","011dbca0","decompiled\DetailInfoUI\BuildTamerObtainedAttributes.original.c","011dbd5e","01ae3424","s_DETAIL_INFO_DATA_01ae3424","DETAIL_INFO_DATA"
"FUN_011d82a0","011d82a0","decompiled\DetailInfoUI\BuildVisibilityToggleButton.original.c","011d82c0","01ae2fc4","s_DetailInfo\Autocrop_OFF_Btn.bmp_01ae2fc4","DetailInfo\Autocrop_OFF_Btn.bmp"
"FUN_011d82a0","011d82a0","decompiled\DetailInfoUI\BuildVisibilityToggleButton.original.c","011d82df","01ae2fc4","s_DetailInfo\Autocrop_OFF_Btn.bmp_01ae2fc4","DetailInfo\Autocrop_OFF_Btn.bmp"
"FUN_011d82a0","011d82a0","decompiled\DetailInfoUI\BuildVisibilityToggleButton.original.c","011d82d3","01ae2fe4","s_DetailInfo\Autocrop_ON_Btn.bmp_01ae2fe4","DetailInfo\Autocrop_ON_Btn.bmp"
"FUN_011d82a0","011d82a0","decompiled\DetailInfoUI\BuildVisibilityToggleButton.original.c","011d82df","01ae2fe4","s_DetailInfo\Autocrop_ON_Btn.bmp_01ae2fe4","DetailInfo\Autocrop_ON_Btn.bmp"
"FUN_011d50f0","011d50f0","decompiled\DetailInfoUI\FinalizeDigimonDetailPanel.original.c","011d526d","01abdaa4","s_list_too_long_01abdaa4","list too long"
"FUN_011daf90","011daf90","decompiled\DetailInfoUI\PrepareTamerDetailControls.original.c","011db35b","01abdaa4","s_list_too_long_01abdaa4","list too long"
"FUN_011d3690","011d3690","decompiled\DetailInfoUI\RenderDigimonDataSection.original.c","011d374b","01ae2be0","s_DETAIL_INFO_DIGIDATA_01ae2be0","DETAIL_INFO_DIGIDATA"
"FUN_011dd050","011dd050","decompiled\DetailInfoUI\ResolveDetailInfoStatText.original.c","011dd137","01ac5158","s_COMMON_TXT_STAT_DEFENSE_01ac5158","COMMON_TXT_STAT_DEFENSE"
"FUN_011dd050","011dd050","decompiled\DetailInfoUI\ResolveDetailInfoStatText.original.c","011dd0c9","01ac5194","s_COMMON_TXT_ATTACK_SPEED_01ac5194","COMMON_TXT_ATTACK_SPEED"
"FUN_011dd050","011dd050","decompiled\DetailInfoUI\ResolveDetailInfoStatText.original.c","011dd0e5","01ac51c4","s_COMMON_TXT_STAT_HIT_RATE_01ac51c4","COMMON_TXT_STAT_HIT_RATE"
"FUN_011dd050","011dd050","decompiled\DetailInfoUI\ResolveDetailInfoStatText.original.c","011dd126","01ac58e4","s_DETAIL_INFO_ELEDMENT_DAMAGE_01ac58e4","DETAIL_INFO_ELEDMENT_DAMAGE"
"FUN_011dd050","011dd050","decompiled\DetailInfoUI\ResolveDetailInfoStatText.original.c","011dd0bb","01ade08c","s_TOOLTIP_ENCHANT_EXPLAIN_TITLE_AT_01ade08c","TOOLTIP_ENCHANT_EXPLAIN_TITLE_AT"
"FUN_011dd050","011dd050","decompiled\DetailInfoUI\ResolveDetailInfoStatText.original.c","011dd0d7","01ae3488","s_TOOLTIP_ENCHANT_EXPLAIN_TITLE_CR_01ae3488","TOOLTIP_ENCHANT_EXPLAIN_TITLE_CR"
"FUN_011dd050","011dd050","decompiled\DetailInfoUI\ResolveDetailInfoStatText.original.c","011dd06e","01ae34ac","s_TOOLTIP_ENCHANT_EXPLAIN_TITLE_HP_01ae34ac","TOOLTIP_ENCHANT_EXPLAIN_TITLE_HP"
"FUN_011dd050","011dd050","decompiled\DetailInfoUI\ResolveDetailInfoStatText.original.c","011dd104","01ae34d0","s_DETAIL_INFO_CRIDAMAGE_01ae34d0","DETAIL_INFO_CRIDAMAGE"
"FUN_011dd050","011dd050","decompiled\DetailInfoUI\ResolveDetailInfoStatText.original.c","011dd0f3","01ae34e8","s_DETAIL_INFO_SCD_01ae34e8","DETAIL_INFO_SCD"
"FUN_011dd050","011dd050","decompiled\DetailInfoUI\ResolveDetailInfoStatText.original.c","011dd148","01ae34f8","s_TOOLTIP_ENCHANT_EXPLAIN_TITLE_BL_01ae34f8","TOOLTIP_ENCHANT_EXPLAIN_TITLE_BL"
"FUN_011dd050","011dd050","decompiled\DetailInfoUI\ResolveDetailInfoStatText.original.c","011dd115","01ae351c","s_DETAIL_INFO_SD_01ae351c","DETAIL_INFO_SD"
"FUN_011dd050","011dd050","decompiled\DetailInfoUI\ResolveDetailInfoStatText.original.c","011dd159","01ae352c","s_TOOLTIP_ENCHANT_EXPLAIN_TITLE_EV_01ae352c","TOOLTIP_ENCHANT_EXPLAIN_TITLE_EV"
"caseD_1","011da506","decompiled\DetailInfoUI\ResolveSealMasterDsTextCase.original.c","011da50d","01ae32e4","s_SEALMASTER_STATE_DS_01ae32e4","SEALMASTER_STATE_DS"
"FUN_011da4b0","011da4b0","decompiled\DetailInfoUI\ResolveSealMasterStatText.original.c","011da51b","01ad7490","s_SEALMASTER_STATE_AT_01ad7490","SEALMASTER_STATE_AT"
"FUN_011da4b0","011da4b0","decompiled\DetailInfoUI\ResolveSealMasterStatText.original.c","011da537","01ad74d8","s_SEALMASTER_STATE_CT_01ad74d8","SEALMASTER_STATE_CT"
"FUN_011da4b0","011da4b0","decompiled\DetailInfoUI\ResolveSealMasterStatText.original.c","011da564","01ad74ec","s_SEALMASTER_STATE_BL_01ad74ec","SEALMASTER_STATE_BL"
"FUN_011da4b0","011da4b0","decompiled\DetailInfoUI\ResolveSealMasterStatText.original.c","011da4ce","01ad7500","s_SEALMASTER_STATE_HP_01ad7500","SEALMASTER_STATE_HP"
"FUN_011da4b0","011da4b0","decompiled\DetailInfoUI\ResolveSealMasterStatText.original.c","011da575","01ad7514","s_SEALMASTER_STATE_EV_01ad7514","SEALMASTER_STATE_EV"
"FUN_011da4b0","011da4b0","decompiled\DetailInfoUI\ResolveSealMasterStatText.original.c","011da545","01ae3314","s_SEALMASTER_STATE_HT_01ae3314","SEALMASTER_STATE_HT"
"FUN_011da4b0","011da4b0","decompiled\DetailInfoUI\ResolveSealMasterStatText.original.c","011da529","01ae3328","s_SEALMASTER_STATE_AS_01ae3328","SEALMASTER_STATE_AS"
"FUN_011da4b0","011da4b0","decompiled\DetailInfoUI\ResolveSealMasterStatText.original.c","011da553","01ae333c","s_SEALMASTER_STATE_DE_01ae333c","SEALMASTER_STATE_DE"
"FUN_011ed0a0","011ed0a0","decompiled\Shared\BuildSharedDetailRewardPanel.original.c","011ed10f","01ae2e20","s_DetailInfo\DetailInfo_bg_b.tga_01ae2e20","DetailInfo\DetailInfo_bg_b.tga"
"FUN_011ed0a0","011ed0a0","decompiled\Shared\BuildSharedDetailRewardPanel.original.c","011ed130","01ae3eb4","s_UNION_REWARD_01ae3eb4","UNION_REWARD"
"FUN_0128bd60","0128bd60","decompiled\StatusUI\CreateDigimonStatusHelpUI.original.c","0128bf53","01ae9d40","s_DigimonStatusUI_Help_01ae9d40","DigimonStatusUI_Help"
"FUN_0128bcc0","0128bcc0","decompiled\StatusUI\CreateDigimonStatusUI.original.c","0128bd23","01ae9d58","s_DigimonStatusUI_01ae9d58","DigimonStatusUI"
"FUN_0128bab0","0128bab0","decompiled\StatusUI\CreateTamerStatusUI.original.c","0128bb89","01ae9d30","s_TamerStatusUI_01ae9d30","TamerStatusUI"
