"AssetPath","Type","FoundBy","Entry","RefAddr","CopiedPath","PackHint","ExtractionStatus"
"EquipSystem\Upgrade_Slot.tga","tga","FUN_012696e0","012696e0","01269927","decompiled\RestoreTab\BuildRestoreSlotAndGaugeControls.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_Slot.tga","tga","FUN_012696e0","012696e0","01269952","decompiled\RestoreTab\BuildRestoreSlotAndGaugeControls.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_Slot.tga","tga","FUN_012696e0","012696e0","01269aab","decompiled\RestoreTab\BuildRestoreSlotAndGaugeControls.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_Slot.tga","tga","FUN_012696e0","012696e0","01269e9b","decompiled\RestoreTab\BuildRestoreSlotAndGaugeControls.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_Slot.tga","tga","FUN_012696e0","012696e0","01269ec6","decompiled\RestoreTab\BuildRestoreSlotAndGaugeControls.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_Slot.tga","tga","FUN_012696e0","012696e0","0126a025","decompiled\RestoreTab\BuildRestoreSlotAndGaugeControls.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_Slot.tga","tga","FUN_0126ae30","0126ae30","0126b1b1","decompiled\RestoreTab\BuildRestoreGlowAndTargetSlot.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_Slot.tga","tga","FUN_0126bd30","0126bd30","0126bd81","decompiled\RestoreTab\ResetRestoreSlotTexture.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_Slot.tga","tga","FUN_0126c420","0126c420","0126c54c","decompiled\RestoreTab\ApplyRestoreSlotVisual.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_Slot.tga","tga","FUN_01270b90","01270b90","01270be1","decompiled\TransferTab\ResetTransferSlotTexture.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_Slot.tga","tga","FUN_012713a0","012713a0","01271487","decompiled\TransferTab\ApplyTransferSlotVisual.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_Slot.tga","tga","FUN_01276eb0","01276eb0","01276f1f","decompiled\StrengthenTab\ResetStrengthenSlotTexture.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_Success_Effect.dds","dds","FUN_0126b5b0","0126b5b0","0126b6f5","decompiled\RestoreTab\BuildRestoreResultEffect.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_Success_Effect.dds","dds","FUN_012703e0","012703e0","01270525","decompiled\TransferTab\BuildTransferResultEffect.original.c","Pack01 interface/sound","mapped only"
"EquipSystem\Upgrade_Success_Effect.dds","dds","FUN_01275e30","01275e30","01275f75","decompiled\StrengthenTab\BuildStrengthenResultEffect.original.c","Pack01 interface/sound","mapped only"
"game\Upgrade_Destory.wav","wav","FUN_01277870","01277870","01277a22","decompiled\StrengthenTab\HandleStrengthenResultMessage.original.c","Pack01 interface/sound","mapped only"
"game\Upgrade_Fail.wav","wav","FUN_0126c260","0126c260","0126c2eb","decompiled\RestoreTab\HandleRestoreResultMessage.original.c","Pack01 interface/sound","mapped only"
"game\Upgrade_Fail.wav","wav","FUN_01271060","01271060","012710e3","decompiled\TransferTab\HandleTransferResultMessage.original.c","Pack01 interface/sound","mapped only"
"game\Upgrade_Fail.wav","wav","FUN_01277870","01277870","0127796f","decompiled\StrengthenTab\HandleStrengthenResultMessage.original.c","Pack01 interface/sound","mapped only"
"game\Upgrade_Process.wav","wav","FUN_0126c670","0126c670","0126c76e","decompiled\RestoreTab\PlayRestoreProcessSound.original.c","Pack01 interface/sound","mapped only"
"game\Upgrade_Process.wav","wav","FUN_01271aa0","01271aa0","01271b9e","decompiled\TransferTab\PlayTransferProcessSound.original.c","Pack01 interface/sound","mapped only"
"game\Upgrade_Process.wav","wav","FUN_012768e0","012768e0","012769de","decompiled\StrengthenTab\PlayStrengthenProcessSound.original.c","Pack01 interface/sound","mapped only"
"game\Upgrade_Success.wav","wav","FUN_0126c260","0126c260","0126c364","decompiled\RestoreTab\HandleRestoreResultMessage.original.c","Pack01 interface/sound","mapped only"
"game\Upgrade_Success.wav","wav","FUN_01271060","01271060","01271152","decompiled\TransferTab\HandleTransferResultMessage.original.c","Pack01 interface/sound","mapped only"
"game\Upgrade_Success.wav","wav","FUN_01277870","01277870","012778f9","decompiled\StrengthenTab\HandleStrengthenResultMessage.original.c","Pack01 interface/sound","mapped only"
"Item_Make\Make_ani_gauge_pixel.tga","tga","FUN_012696e0","012696e0","01269aa1","decompiled\RestoreTab\BuildRestoreSlotAndGaugeControls.original.c","Pack01 interface/sound","mapped only"
"Item_Make\Make_ani_gauge_pixel.tga","tga","FUN_012696e0","012696e0","0126a01b","decompiled\RestoreTab\BuildRestoreSlotAndGaugeControls.original.c","Pack01 interface/sound","mapped only"
"Item_Make\Make_ani_gauge_pixel.tga","tga","FUN_0126ae30","0126ae30","0126b1a7","decompiled\RestoreTab\BuildRestoreGlowAndTargetSlot.original.c","Pack01 interface/sound","mapped only"
"Item_Make\Make_ani_gauge_pixel.tga","tga","FUN_0126b830","0126b830","0126b8ed","decompiled\RestoreTab\BuildRestoreConnectionLines.original.c","Pack01 interface/sound","mapped only"
