"CopiedPath","Line","Value"
"decompiled\StrengthenTab\HandleStrengthenResultMessage.original.c","39","EQUIPSYSTEM_UPGRADE_SUCCESS_01ae8da8"
"decompiled\RestoreTab\BuildRestoreResultEffect.original.c","68","EquipSystem_Upgrade_Success_Effe_01ae4608"
"decompiled\StrengthenTab\BuildStrengthenResultEffect.original.c","70","EquipSystem_Upgrade_Success_Effe_01ae4608"
"decompiled\TransferTab\BuildTransferResultEffect.original.c","68","EquipSystem_Upgrade_Success_Effe_01ae4608"
"decompiled\ValidationAndPackets\ValidateRequiredItemCount.original.c","126","NEED_ITEM_LACK_01aeb260"
"decompiled\Launcher\CreateEquipmentUpgradeSystemWindow.original.c","42","UpgradeSystem_01ae9d98"
"decompiled\RestoreTab\BuildRestoreTabLayout.original.c","73","UPGRADESYSTEM_DATA_RESTORE_BTN_01ae8a8c"
"decompiled\MainWindow\BuildUpgradeManagementWindow.original.c","218","UPGRADESYSTEM_TAB_UPGRADE_DATA_R_01ae8ef0"
"decompiled\MainWindow\BuildUpgradeManagementWindow.original.c","167","UPGRADESYSTEM_TAB_UPGRADE_DATA_T_01ae8f18"
"decompiled\MainWindow\BuildUpgradeManagementWindow.original.c","75","UPGRADESYSTEM_TITLE_01ad2990"
