"Function","Entry","RefAddr","Target","Value","Copied"
"FUN_0128bab0","0128bab0","0128bb89","01ae9d30","TamerStatusUI","decompiled\StatusUI\CreateTamerStatusUI.original.c"
"FUN_0128bcc0","0128bcc0","0128bd23","01ae9d58","DigimonStatusUI","decompiled\StatusUI\CreateDigimonStatusUI.original.c"
"FUN_0128bd60","0128bd60","0128bf53","01ae9d40","DigimonStatusUI_Help","decompiled\StatusUI\CreateDigimonStatusHelpUI.original.c"
"FUN_0128d4e0","0128d4e0","0128d56f","01ae9ec0","AutocropUI","NO"
"FUN_0130e8b0","0130e8b0","0130f5e2","01ad5d38","OPTION_MACRO_TOGGLE_AUTOCROP","NO"
"FUN_01354110","01354110","01354478","01ae13ac","SEALMASTER_STATE_COMBO_ALL","NO"
"FUN_01354110","01354110","013545a1","01ae13e4","SEALMASTER_STATE_COMBO_DS","NO"
"FUN_01354110","01354110","013544f6","01ae1400","SEALMASTER_STATE_COMBO_HP","NO"
"FUN_01354110","01354110","013546f7","01ae141c","SEALMASTER_STATE_COMBO_AS","NO"
"FUN_01354110","01354110","0135464c","01ae1438","SEALMASTER_STATE_COMBO_AT","NO"
"FUN_01354110","01354110","0135484d","01ae1454","SEALMASTER_STATE_COMBO_HT","NO"
"FUN_01354110","01354110","013547a2","01ae1470","SEALMASTER_STATE_COMBO_CT","NO"
"FUN_01354110","01354110","013549a3","01ae148c","SEALMASTER_STATE_COMBO_BL","NO"
"FUN_01354110","01354110","013548f8","01ae14a8","SEALMASTER_STATE_COMBO_DE","NO"
"FUN_01354110","01354110","01354a4e","01ae14f4","SEALMASTER_STATE_COMBO_EV","NO"
"FUN_01354bb0","01354bb0","0135503a","01ad7490","SEALMASTER_STATE_AT","NO"
"FUN_01354bb0","01354bb0","0135543a","01ad74d8","SEALMASTER_STATE_CT","NO"
"FUN_01354bb0","01354bb0","01355a3a","01ad74ec","SEALMASTER_STATE_BL","NO"
"FUN_01354bb0","01354bb0","01354c26","01ad7500","SEALMASTER_STATE_HP","NO"
"FUN_01354bb0","01354bb0","01355c2a","01ad7514","SEALMASTER_STATE_EV","NO"
"FUN_01354bb0","01354bb0","01354e39","01ae32e4","SEALMASTER_STATE_DS","NO"
"FUN_01354bb0","01354bb0","0135563a","01ae3314","SEALMASTER_STATE_HT","NO"
"FUN_01354bb0","01354bb0","0135523a","01ae3328","SEALMASTER_STATE_AS","NO"
"FUN_01354bb0","01354bb0","0135583a","01ae333c","SEALMASTER_STATE_DE","NO"
"FUN_013cbdc0","013cbdc0","013cc0a0","01ad7490","SEALMASTER_STATE_AT","NO"
"FUN_013cbdc0","013cbdc0","013cc27a","01ad74d8","SEALMASTER_STATE_CT","NO"
"FUN_013cbdc0","013cbdc0","013cc541","01ad74ec","SEALMASTER_STATE_BL","NO"
"FUN_013cbdc0","013cbdc0","013cbec6","01ad7500","SEALMASTER_STATE_HP","NO"
"FUN_013cbdc0","013cbdc0","013cc62e","01ad7514","SEALMASTER_STATE_EV","NO"
"FUN_013cbdc0","013cbdc0","013cbfb3","01ae32e4","SEALMASTER_STATE_DS","NO"
"FUN_013cbdc0","013cbdc0","013cc367","01ae3314","SEALMASTER_STATE_HT","NO"
"FUN_013cbdc0","013cbdc0","013cc18d","01ae3328","SEALMASTER_STATE_AS","NO"
"FUN_013cbdc0","013cbdc0","013cc454","01ae333c","SEALMASTER_STATE_DE","NO"
"FUN_013cc970","013cc970","013ccd39","01ad7490","SEALMASTER_STATE_AT","NO"
"FUN_013cc970","013cc970","013ccdda","01ad7490","SEALMASTER_STATE_AT","NO"
"FUN_013cc970","013cc970","013ccf6b","01ad74d8","SEALMASTER_STATE_CT","NO"
"FUN_013cc970","013cc970","013cd00c","01ad74d8","SEALMASTER_STATE_CT","NO"
"FUN_013cc970","013cc970","013cd2b6","01ad74ec","SEALMASTER_STATE_BL","NO"
"FUN_013cc970","013cc970","013cd357","01ad74ec","SEALMASTER_STATE_BL","NO"
"FUN_013cc970","013cc970","013ccb07","01ad7500","SEALMASTER_STATE_HP","NO"
"FUN_013cc970","013cc970","013ccba8","01ad7500","SEALMASTER_STATE_HP","NO"
"FUN_013cc970","013cc970","013cd3cf","01ad7514","SEALMASTER_STATE_EV","NO"
"FUN_013cc970","013cc970","013cd470","01ad7514","SEALMASTER_STATE_EV","NO"
"FUN_013cc970","013cc970","013ccc20","01ae32e4","SEALMASTER_STATE_DS","NO"
"FUN_013cc970","013cc970","013cccc1","01ae32e4","SEALMASTER_STATE_DS","NO"
"FUN_013cc970","013cc970","013cd084","01ae3314","SEALMASTER_STATE_HT","NO"
"FUN_013cc970","013cc970","013cd125","01ae3314","SEALMASTER_STATE_HT","NO"
"FUN_013cc970","013cc970","013cce52","01ae3328","SEALMASTER_STATE_AS","NO"
"FUN_013cc970","013cc970","013ccef3","01ae3328","SEALMASTER_STATE_AS","NO"
"FUN_013cc970","013cc970","013cd19d","01ae333c","SEALMASTER_STATE_DE","NO"
"FUN_013cc970","013cc970","013cd23e","01ae333c","SEALMASTER_STATE_DE","NO"
"FUN_013cd8a0","013cd8a0","013cdb80","01ad7490","SEALMASTER_STATE_AT","NO"
"FUN_013cd8a0","013cd8a0","013cdd5a","01ad74d8","SEALMASTER_STATE_CT","NO"
"FUN_013cd8a0","013cd8a0","013ce021","01ad74ec","SEALMASTER_STATE_BL","NO"
"FUN_013cd8a0","013cd8a0","013cd9a6","01ad7500","SEALMASTER_STATE_HP","NO"
"FUN_013cd8a0","013cd8a0","013ce10e","01ad7514","SEALMASTER_STATE_EV","NO"
"FUN_013cd8a0","013cd8a0","013cda93","01ae32e4","SEALMASTER_STATE_DS","NO"
"FUN_013cd8a0","013cd8a0","013cde47","01ae3314","SEALMASTER_STATE_HT","NO"
"FUN_013cd8a0","013cd8a0","013cdc6d","01ae3328","SEALMASTER_STATE_AS","NO"
"FUN_013cd8a0","013cd8a0","013cdf34","01ae333c","SEALMASTER_STATE_DE","NO"
"FUN_0162b0a0","0162b0a0","0162b0e5","01a1a480","AutoCrop.bin","NO"
