"Function","Entry","RefAddr","Target","Value","Copied"
"FUN_012faae0","012faae0","012faea9","01aeaa34","INVENTORY_FILTER_TEXT_ETC","decompiled\ExtraInventoryUI\BuildNewInventoryTabButton.original.c"
"FUN_012faae0","012faae0","012fae0f","01aeaa50","INVENTORY_FILTER_TEXT_DIGIMON","decompiled\ExtraInventoryUI\BuildNewInventoryTabButton.original.c"
"FUN_012faae0","012faae0","012fab19","01aedbf4","NewInventory\new_inventory_btn_tab.tga","decompiled\ExtraInventoryUI\BuildNewInventoryTabButton.original.c"
"FUN_012faf80","012faf80","012fafc7","01aedbf4","NewInventory\new_inventory_btn_tab.tga","decompiled\ExtraInventoryUI\BuildNewInventoryTabButtonEx.original.c"
"FUN_012fb192","012fb192","012fb199","01ae2e58","INVENTORY_FILTER_TEXT_EQUIP","NO"
"FUN_0130e8b0","0130e8b0","0130ecb4","01aef628","INVENTORY_TITLE_INVENTORY","NO"
"FUN_0130e8b0","0130e8b0","0130ed70","01aef668","OPTION_MACRO_MENU_CARD_INVENTORY","NO"
"FUN_0130e8b0","0130e8b0","0130ed12","01aef68c","OPTION_MACRO_MENU_EXTRA_INVENTORY","NO"
"FUN_0134f9e0","0134f9e0","0134fa46","01af1d78","SealMaster\sealmaster_window.tga","NO"
"FUN_0134f9e0","0134f9e0","0134fb3b","01af1d9c","SealMaster\Sealmaster_bg_00.tga","NO"
"FUN_0134f9e0","0134f9e0","0134fa78","01af1dbc","SEALMASTER_SEAL_TITLE","NO"
"FUN_013508c0","013508c0","01350a6f","01af1df0","SealMaster\common_dropdown_glow.tga","NO"
"FUN_013510f0","013510f0","01351537","01ae0fbc","SEALMASTER_SHOW_ALL","NO"
"FUN_01351620","01351620","01351a67","01af1dd4","SEALMASTER_SHOW_FAVORITE","NO"
"FUN_01351b50","01351b50","01351f97","01af1e3c","SEALMASTER_SHOW_ACTIVE","NO"
"FUN_01352080","01352080","013526ff","01af1e14","SealMaster\Sealmaster_favorite_on.dds","NO"
"FUN_01352080","01352080","0135284e","01af1e54","SealMaster\sealmaster_belt_s.dds","NO"
"FUN_01352080","01352080","01352871","01af1e54","SealMaster\sealmaster_belt_s.dds","NO"
"FUN_01352080","01352080","013527a1","01af1e78","SealMaster\Sealmaster_favorite_off.dds","NO"
"FUN_01352d20","01352d20","01353051","01af1ea0","sealmaster_blind","NO"
"FUN_01352d20","01352d20","01352efb","01af1eb4","sealmaster_bg","NO"
"FUN_01352d20","01352d20","01353405","01af1ec4","sealmaster_type","NO"
"FUN_01352d20","01352d20","0135322b","01af1ed4","sealmaster_elemental","NO"
"FUN_01352d20","01352d20","01353630","01af1eec","System\SealMaster.wav","NO"
"FUN_01352d20","01352d20","01353644","01af1eec","System\SealMaster.wav","NO"
"FUN_01352d20","01352d20","01353654","01af1eec","System\SealMaster.wav","NO"
